id,text,type,options,branching_if,branching_then
name,What is your full name?,text,,,
email,What is your email address?,email,,,
goals,What is your primary health goal?,single_choice,Longevity;Energy Optimization;Physique & Weight;Cognitive Performance;Libido & Hormones,,
Q-001,What is your age?,single_numeric,,,
Q-002,What is your biological sex?,single_choice,Male;Female,,,
Q-101,What is your current Weight (in kg)?,single_numeric,,,
Q-102,What is your current Height (in cm)?,single_numeric,,,
Q-015,CRITICAL: Do you feel short of breath on mild exertion or at rest?,yes_no,Yes;No,,
Q-103,CRITICAL: Do you experience chest pain or pressure during physical activity?,yes_no,Yes;No,,
Q-014,CRITICAL: Have you unintentionally lost more than 5 kg in the last 6 months?,yes_no,Yes;No,,
Q-019,What is your last known Systolic Blood Pressure (Top number)? Enter 120 if unknown.,single_numeric,,,
Q-003,Do you currently smoke cigarettes or use tobacco?,single_choice,Never;Former;Current,,
Q-006,How many hours of sleep do you usually get per night?,single_numeric,,,
Q-104,Do you wake up feeling refreshed and energized?,yes_no,Yes;No,,
Q-007,Rate your typical stress level (1 = Low, 10 = High).,single_numeric,,,
Q-105,How many minutes of direct morning sunlight do you get?,single_choice,0-10 mins;10-30 mins;30+ mins,,
Q-106,How many servings of vegetables do you eat daily?,single_choice,0-1 servings;2-4 servings;5+ servings,,
Q-010,Have you been diagnosed with any of the following?,multi_select,Hypertension;Diabetes Type 2;High Cholesterol;None,,
Q-107,Are you currently taking blood thinners (e.g. Warfarin) or Statins?,yes_no,Yes;No,,
Q-009,Has any parent/sibling had a heart attack before age 55?,yes_no,Yes;No,,
Q-017,Do you have a family history of cancer?,multi_select,Breast;Colon;Prostate;None,,
